State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.9318837921369721	0.046236714419791436	8.143386647865138E-4	0.0	8.287004397345583E-5	6.890031844636298E-4	0.0	0.013593184714607754	0.006611614557865171	8.848227753986748E-5
2	0.14063905339235688	0.7706643710365957	0.01948701309794532	0.0011811824944038174	5.226612148429301E-4	0.06674454710589386	0.0	0.0	7.430263658004783E-4	1.8145292161032407E-5
3	0.012283404463990687	0.009851445874180562	0.7182044059030361	0.05816446823062924	0.0023706922519655025	0.002405281095618975	0.003714167599556941	0.16183488467022	0.015307444845574749	0.015863805065227093
4	0.0	0.001874859827935971	0.16876416251195658	0.6813796064405133	0.030811518065559824	0.00457459131951537	0.10374131277771825	0.00885394905680068	0.0	0.0
5	0.0	0.001569080006759888	0.011925316775275766	0.04040003646887505	0.7215124706953496	0.0973002773051867	0.10900124409194538	0.012186187736800346	0.004713487354492441	0.0013918995653147638
6	0.0036833297894963016	0.0923518701699259	0.005674018238578109	0.004197285525968309	0.06891693281878107	0.8232071466198422	0.0017052217452292366	0.0	2.6419509217902114E-4	0.0
7	7.278823687176175E-6	0.0	0.0011828624957534502	0.03949114444114747	0.03037723129743616	2.6602122456393637E-4	0.6671261355649808	0.22953391812808707	0.007236331613930966	0.024779076410412926
8	0.0	0.0	0.01931066838428816	2.8297965326291895E-4	3.176783090028797E-4	7.454392784044724E-5	0.02205055052481459	0.95265436296807	0.0027199683007905445	0.0025892479319304783
9	4.437402475329856E-4	5.294935716447377E-6	3.8729033744509654E-4	0.0	3.144593646782111E-5	5.778954255607258E-7	3.132691375775563E-4	4.0357343716890704E-4	0.9975428756148591	8.719324578064164E-4
10	2.2185464583693423E-4	0.0	0.0017922388030654065	0.0	4.792011273582417E-5	1.657247382851559E-6	0.002907678135215931	0.003046726186525777	0.003825398094673962	0.9881565267745633
